id,面積(μm)^2,円相当径(μm),周囲長(μm),最大長(μm),対角幅(μm),外接矩形_長辺(μm),外接矩形_短辺(μm),アスペクト比,円形度,四角度,凸度,角度(°),モード基準角(°),近似境界距離(μm),第一近傍重心距離(μm),第二近傍重心距離(μm),第三近傍重心距離(μm),平均画素値Gray,最小画素値Gray,最大画素値Gray,画素値標準偏差Gray,画素値標準偏差Gray_内部,累積10％画素値Gray,累積50％画素値Gray,累積90％画素値Gray,平均画素値Blue,最小画素値Blue,最大画素値Blue,画素値標準偏差Blue,累積10％画素値Blue,累積50％画素値Blue,累積90％画素値Blue,平均画素値Green,最小画素値Green,最大画素値Green,画素値標準偏差Green,累積10％画素値Green,累積50％画素値Green,累積90％画素値Green,平均画素値Red,最小画素値Red,最大画素値Red,画素値標準偏差Red,累積10％画素値Red,累積50％画素値Red,累積90％画素値Red,平均画素値Hue,最小画素値Hue,最大画素値Hue,画素値標準偏差Hue,累積10％画素値Hue,累積50％画素値Hue,累積90％画素値Hue,平均画素値Saturation,最小画素値Saturation,最大画素値Saturation,画素値標準偏差Saturation,累積10％画素値Saturation,累積50％画素値Saturation,累積90％画素値Saturation,平均画素値Value,最小画素値Value,最大画素値Value,画素値標準偏差Value,累積10％画素値Value,累積50％画素値Value,累積90％画素値Value,平均画素値L*,最小画素値L*,最大画素値L*,画素値標準偏差L*,累積10％画素値L*,累積50％画素値L*,累積90％画素値L*,平均画素値a*,最小画素値a*,最大画素値a*,画素値標準偏差a*,累積10％画素値a*,累積50％画素値a*,累積90％画素値a*,平均画素値b*,最小画素値b*,最大画素値b*,画素値標準偏差b*,累積10％画素値b*,累積50％画素値b*,累積90％画素値b*
11,205.34356303999996,16.169463340486775,55.1114304874897,18.980048615322353,14.820037959909234,17.278799999999997,15.184399999999998,1.1379310344827585,0.8495864745373025,0.7826541274817138,1.0233644859813085,-63.43494882292201,32.565051177077976,3.1146633346628594,13.833349488825906,20.040956723669655,20.845593817399394,156.643216080402,3.0,243.0,32.679128951883314,27.47740011822535,114,159,195,156.643216080402,3.0,243.0,32.679128951883314,114,159,195,156.643216080402,3.0,243.0,32.679128951883314,114,159,195,156.643216080402,3.0,243.0,32.679128951883314,114,159,195,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,156.643216080402,3.0,243.0,32.679128951883314,114,159,195,164.23492462311557,2.0,245.0,32.1846328131288,123,167,201,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
12,475.1140116799999,24.595405016562342,96.53483913879394,34.06218217789341,22.214466637756576,31.844952365112302,21.58439053955078,1.4753695410931473,0.6406776118080056,0.6912218285023368,1.1096364685516444,-53.13010235415598,42.86989764584402,4.056608548129789,17.554270792032348,18.415541249716227,20.068297741462775,129.20055096418733,21.0,211.0,27.86560623269696,26.912838371609872,93,129,165,129.20055096418733,21.0,211.0,27.86560623269696,93,129,165,129.20055096418733,21.0,211.0,27.86560623269696,93,129,165,129.20055096418733,21.0,211.0,27.86560623269696,93,129,165,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,129.20055096418733,21.0,211.0,27.86560623269696,93,129,165,137.50027548209366,17.0,216.0,28.01884204541622,101,138,173,127.99999999999999,128.0,128.0,1.3486991523486091e-06,128,128,128,127.99999999999999,128.0,128.0,1.3486991523486091e-06,128,128,128
13,919.6595223199998,34.219100974602966,132.05618748011588,41.87818134924199,34.81447059797857,41.212339804077146,29.035967315673826,1.4193548076433613,0.6627037472316537,0.7685347354641102,1.0949470860038755,-59.8986954344003,36.10130456559969,1.719171578783243,22.02234461268827,22.214466637756576,22.60594110936326,123.11460739030024,0.0,221.0,29.784859352871475,29.02846764021124,86,123,161,123.11460739030024,0.0,221.0,29.784859352871475,86,123,161,123.11460739030024,0.0,221.0,29.784859352871475,86,123,161,123.11460739030024,0.0,221.0,29.784859352871475,86,123,161,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,123.11460739030024,0.0,221.0,29.784859352871475,86,123,161,131.26732101616628,0.0,225.0,30.318043073047548,93,132,169,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
14,4.523589839999999,2.399919471242776,8.504646625757216,3.053086412140999,2.6041031162379102,2.618,2.0944,1.25,0.7859239759138742,0.8249999999999998,1.0606060606060606,-75.96375653207353,20.036243467926454,4.289335730341449,10.00336395419061,13.833349488825906,17.554270792032348,87.36,26.0,188.0,43.9243713671579,43.9243713671579,36,76,151,87.36,26.0,188.0,43.9243713671579,36,76,151,87.36,26.0,188.0,43.9243713671579,36,76,151,87.36,26.0,188.0,43.9243713671579,36,76,151,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,87.36,26.0,188.0,43.9243713671579,36,76,151,92.84,24.0,195.0,46.27109680999576,36,82,159,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
15,437.6915866399999,23.606910778581863,91.50030785040855,28.96885317992412,21.672222731795568,28.904789680480956,20.60765794677734,1.4026237117838583,0.6569509608579661,0.7348010154382495,1.0927027873473223,-86.82016988013577,9.17983011986422,0.0,11.435596614081836,13.833349488825906,17.663256225283035,126.4033512866547,1.0,242.0,32.49470003494013,30.695868942424607,87,127,166,126.4033512866547,1.0,242.0,32.49470003494013,87,127,166,126.4033512866547,1.0,242.0,32.49470003494013,87,127,166,126.4033512866547,1.0,242.0,32.49470003494013,87,127,166,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,126.4033512866547,1.0,242.0,32.49470003494013,87,127,166,134.42908438061042,1.0,244.0,33.221572185365424,94,136,174,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
16,111.71896119999998,11.926650799640832,41.37078386173248,13.121378391007553,12.870651415383206,12.056529959106443,11.570378752136229,1.0420168792556128,0.8202556934848395,0.8008607020699962,1.041717791411043,-65.77225468204583,30.227745317954174,0.0,20.366626634766984,22.02234461268827,35.98774067706945,145.16289592760182,4.0,232.0,37.806912135061495,29.715323760196522,100,147,192,145.16289592760182,4.0,232.0,37.806912135061495,100,147,192,145.16289592760182,4.0,232.0,37.806912135061495,100,147,192,145.16289592760182,4.0,232.0,37.806912135061495,100,147,192,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,145.16289592760182,4.0,232.0,37.806912135061495,100,147,192,152.79638009049776,2.0,235.0,38.01243170690102,108,156,198,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
17,717.1946073599998,30.218546215222865,146.484691836977,39.130124221627504,30.295193757263622,39.03496882629394,29.58856721038818,1.3192585010533813,0.4200126743314211,0.6209537340833943,1.220756880733945,-81.1932073055647,14.806792694435302,0.0,16.697833042643587,20.366626634766984,22.757031824031884,129.37574404761904,0.0,228.0,34.17411267502006,31.945981228685696,88,129,174,129.37574404761904,0.0,228.0,34.17411267502006,88,129,174,129.37574404761904,0.0,228.0,34.17411267502006,88,129,174,129.37574404761904,0.0,228.0,34.17411267502006,88,129,174,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,129.37574404761904,0.0,228.0,34.17411267502006,88,129,174,137.3578869047619,0.0,231.0,34.536976134786755,95,138,181,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
18,257.43338543999994,18.10453994105504,69.59255944666862,26.36782225668248,13.267090378362319,26.270133566284176,12.402433448791502,2.118143481660363,0.6679579356828887,0.790124778944755,1.056975505857295,88.89829388479363,4.898293884793631,1.158210527498614,17.663256225283035,20.527524144913336,20.5342008483408,136.07107107107106,15.0,212.0,27.066557825228983,25.96012861198923,101,136,172,136.07107107107106,15.0,212.0,27.066557825228983,101,136,172,136.07107107107106,15.0,212.0,27.066557825228983,101,136,172,136.07107107107106,15.0,212.0,27.066557825228983,101,136,172,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,136.07107107107106,15.0,212.0,27.066557825228983,101,136,172,144.36936936936937,11.0,217.0,27.034636566393456,109,145,180,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
19,539.5408972799999,26.21001347612756,106.21373220305442,42.09691900175118,20.26695729168467,41.888,19.8968,2.1052631578947367,0.6009978171787644,0.6473684210526315,1.1026422764227641,-89.24615166692924,6.753848333070778,0.0,16.697833042643587,20.527524144913336,23.660695516404413,128.69825072886297,4.0,230.0,33.92535690968159,31.960529296133625,87,128,173,128.69825072886297,4.0,230.0,33.92535690968159,87,128,173,128.69825072886297,4.0,230.0,33.92535690968159,87,128,173,128.69825072886297,4.0,230.0,33.92535690968159,87,128,173,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,128.69825072886297,4.0,230.0,33.92535690968159,87,128,173,136.68610301263362,2.0,233.0,34.210058410872314,94,137,180,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
20,124.60433831999998,12.595680648324764,45.99334846615791,15.751572899237713,12.63606842524484,13.613602996063232,13.404162197113036,1.0156250570434984,0.7402066283580262,0.682842285871291,1.0550055005500552,77.9052429229879,-6.094757077012105,1.3499183922580684,22.757031824031884,23.660695516404413,35.98774067706945,120.13793103448276,0.0,230.0,38.38426984826324,34.266926069057064,74,118,172,120.13793103448276,0.0,230.0,38.38426984826324,74,118,172,120.13793103448276,0.0,230.0,38.38426984826324,74,118,172,120.13793103448276,0.0,230.0,38.38426984826324,74,118,172,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,120.13793103448276,0.0,230.0,38.38426984826324,74,118,172,127.78701825557809,0.0,233.0,39.26005864360704,80,127,180,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
